Job Title;Company Name;Location;Posted Date;Job Type;Job Skills;Link;Salary;Responsibilities
Solution Architect , Microsoft Dynamics CRM;Confidential ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimePart TimeWork From HomeExperienced  7+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Dynamics CRM  Microsoft Dynamics  Computer Science  Information Technology (IT)  CRM  Dynamics  SQL  Microsoft Dynamics CRM;https://wuzzuf.net/jobs/p/2Vi1Uqi3KoEA-Solution-Architect-Microsoft-Dynamics-CRM-Riyadh-Saudi-Arabia?o=387&l=sp&t=sj&a=data|search-v3|navbl;;
Digital Marketing Specialist (Junior CRM);Chefaa IT ;Maadi, Cairo, Egypt ;20 days ago;Part Time;Full TimeEntry Level  1 - 2 Yrs of Exp  Marketing/PR/Advertising  CRM  E-Marketing  Marketing  Communication skills  Social Media  Software  Business Administration  media;https://wuzzuf.net/jobs/p/c5xxMGEBZBSv-Digital-Marketing-Specialist-Junior-CRM-Chefaa-IT-Cairo-Egypt?o=388&l=sp&t=sj&a=data|search-v3|navbl;;
Product Associate / Analyst;Tam Development LLC ;Riyadh, Saudi Arabia ;16 days ago;Work From Home;Full TimeWork From HomeExperienced  1 - 5 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Agile  Business Analysis  Communication skills  Project Management  Software Development  Computer Science;https://wuzzuf.net/jobs/p/lmLBqj3Y4n9U-Product-Associate-Analyst-Tam-Development-LLC-Riyadh-Saudi-Arabia?o=389&l=sp&t=sj&a=data|search-v3|navbl;;
Software Tester;Rawasi Holding for Investment ;New Cairo, Cairo, Egypt ;21 days ago;Full Time;Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Quality  Computer Science  Software Testing  Automation  Software Engineering;https://wuzzuf.net/jobs/p/nGqkmaU0keCe-Software-Tester-Rawasi-Holding-for-Investment-Cairo-Egypt?o=390&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Account Manager (Dubai-based);Kpler ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  Customer Service/Support  Marketing/PR/Advertising  Sales/Retail  Sales  Sales Skills  Customer Service  Sales Target  Customer Support  Customer Care  Marketing;https://wuzzuf.net/jobs/p/kb2RylKGtlSp-Senior-Account-Manager-Dubai-based-Kpler-Dubai-United-Arab-Emirates?o=391&l=sp&t=sj&a=data|search-v3|navbl;;
Geophysicist I/Specialist (Portfolio Evaluations Geologist );Saudi Geophysical ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  IT/Software Development  Marketing/PR/Advertising  Media/Journalism/Publishing  marketing  information technology (it)  social media  media  engineering  management  quality;https://wuzzuf.net/jobs/p/e7XvdD2rhgE6-Geophysicist-ISpecialist-Portfolio-Evaluations-Geologist-Saudi-Geophysical-Riyadh-Saudi-Arabia?o=392&l=sp&t=sj&a=data|search-v3|navbl;;
Geologist I (Unconventional Structural Geologist (Shale Play);Saudi Geophysical ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  R&D/Science  geological  geology  seismic  geophysical  basins;https://wuzzuf.net/jobs/p/UHGjEbk73Arc-Geologist-I-Unconventional-Structural-Geologist-Shale-Play-Saudi-Geophysical-Riyadh-Saudi-Arabia?o=393&l=sp&t=sj&a=data|search-v3|navbl;;
Senior MEP Engineer;enoc ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  IT/Software Development  Engineering - Telecom/Technology  Engineering - Mechanical/Electrical  Engineering  Information Technology (IT)  Computer Science  Software Engineering  Software Development  Mechanical Engineering  Computer Engineering;https://wuzzuf.net/jobs/p/jA9sjD4ShwdW-Senior-MEP-Engineer-enoc-Dubai-United-Arab-Emirates?o=394&l=sp&t=sj&a=data|search-v3|navbl;;
Clinical Supervisor;Your Life ABA ;Alexandria, Egypt ;7 days ago;Full Time;Full TimeNot specified  R&D/Science  Medical/Healthcare  Sales/Retail  medical  health care  science  microsoft office  education  health  psychology;https://wuzzuf.net/jobs/p/OybpYbQCYfK0-Clinical-Supervisor-Your-Life-ABA-Alexandria-Egypt?o=395&l=sp&t=sj&a=data|search-v3|navbl;;
Sr Associate Medical Science Liaison;Amgen Inc. ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  Medical/Healthcare  Sales/Retail  Pharmaceutical  pharmacy  science  medical  sales  healthcare  research  access;https://wuzzuf.net/jobs/p/ZKiwzaYEUtvh-Sr-Associate-Medical-Science-Liaison-Amgen-Inc-Riyadh-Saudi-Arabia?o=396&l=sp&t=sj&a=data|search-v3|navbl;;
Human Capital Business Partnership Manager;Salt Search Ltd ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  Administration  Human Resources  IT/Software Development  HCM  Computer Science  Human Capital Management  Information Technology (IT)  Oracle  English  Human Resources (HR);https://wuzzuf.net/jobs/p/Pm7WEHXy2zMn-Human-Capital-Business-Partnership-Manager-Salt-Search-Ltd-Riyadh-Saudi-Arabia?o=397&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Presales Consultant - Enterprise Business Solutions;Giza Arabia Systems ;Cairo, Egypt ;7 days ago;Full Time;Full TimeNot specified  IT/Software Development  Sales/Retail  Engineering - Telecom/Technology  Sales  Sales Skills  Real Estate  Sales Target  Information Technology (IT)  Computer Science  Customer Service;https://wuzzuf.net/jobs/p/SMXMvBkpZWRz-Senior-Presales-Consultant---Enterprise-Business-Solutions-Giza-Arabia-Systems-Cairo-Egypt?o=398&l=sp&t=sj&a=data|search-v3|navbl;;
Personnel Section Head (Projects);ArchirodonGroup ;Duba, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  Operations/Management  Quality  Engineering - Mechanical/Electrical  Engineering  Management  Microsoft Office  Mechanical Engineering  Accounting  Human Resources (HR)  Finance;https://wuzzuf.net/jobs/p/ikBgqyS5EJhT-Personnel-Section-Head-Projects-ArchirodonGroup-Duba-Saudi-Arabia?o=399&l=sp&t=sj&a=data|search-v3|navbl;;
Geological Specialist (Geomechanics);Saudi Geophysical ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  R&D/Science  geophysics  geoscience  science;https://wuzzuf.net/jobs/p/EAYReyscEuhJ-Geological-Specialist-Geomechanics-Saudi-Geophysical-Riyadh-Saudi-Arabia?o=400&l=sp&t=sj&a=data|search-v3|navbl;;
Civil Engineer Planner;Professional Recruitment ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  Engineering - Construction/Civil/Architecture  Creative/Design/Art  Project/Program Management  Civil Engineering  Engineering  Construction  AutoCAD  Architecture  Civil  Microsoft Office;https://wuzzuf.net/jobs/p/jOH9ivrICXvH-Civil-Engineer-Planner-Professional-Recruitment-Riyadh-Saudi-Arabia?o=401&l=sp&t=sj&a=data|search-v3|navbl;;
Head of Sales - Zone Health;GluCare Integrated Diabetic Center ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  Business Development  Operations/Management  Sales/Retail  Sales  Sales Skills  Sales Target  Customer Service  Management  Customer Care  Customer Support;https://wuzzuf.net/jobs/p/f74cNXNfLpZ9-Head-of-Sales---Zone-Health-GluCare-Integrated-Diabetic-Center-Dubai-United-Arab-Emirates?o=402&l=sp&t=sj&a=data|search-v3|navbl;;
Geophysicist I (Development);Saudi Geophysical ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  R&D/Science  Engineering - Construction/Civil/Architecture  Creative/Design/Art  seismic  geologic  geological  seismically  geophysical;https://wuzzuf.net/jobs/p/qkmh6QxoX3Ge-Geophysicist-I-Development-Saudi-Geophysical-Riyadh-Saudi-Arabia?o=403&l=sp&t=sj&a=data|search-v3|navbl;;
Senior DBA;Sword Egypt ;Maadi, Cairo, Egypt ;7 days ago;Full Time;Full TimeExperienced  5 - 7 Yrs of Exp  IT/Software Development  DBA  MS SQL  ERP  ETL  Cloud;https://wuzzuf.net/jobs/p/Pq9SHhVBGwR5-Senior-DBA-Sword-Egypt-Cairo-Egypt?o=404&l=sp&t=sj&a=data|search-v3|navbl;;
Researcher – Arabic Speaking;Salt Search Ltd ;Riyadh, Saudi Arabia ;7 days ago;Full Time;Full TimeNot specified  Marketing/PR/Advertising  Sales/Retail  Media/Journalism/Publishing  marketing  social media  microsoft office  market research  arabic  research  analysis;https://wuzzuf.net/jobs/p/W6em4CjEgUYL-Researcher-–-Arabic-Speaking-Salt-Search-Ltd-Riyadh-Saudi-Arabia?o=405&l=sp&t=sj&a=data|search-v3|navbl;;
RSO Specialist (Project based end of 2025);Sanofi-Aventis Deutschland GmbH ;Cairo, Egypt ;7 days ago;Full Time;Full TimeNot specified  Medical/Healthcare  Pharmaceutical  coe  medical  pharmacy  science;https://wuzzuf.net/jobs/p/53v6rTTjzXR7-RSO-Specialist-Project-based-end-of-2025-Sanofi-Aventis-Deutschland-GmbH-Cairo-Egypt?o=406&l=sp&t=sj&a=data|search-v3|navbl;;
Sales Engineer, VP;State Street Corporation ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  Sales/Retail  Engineering - Mechanical/Electrical  Engineering - Other  Sales  Sales Skills  Engineering  Sales Target  Electrical Engineering  Mechanical Engineering  Customer Service;https://wuzzuf.net/jobs/p/QjC1DsLnJOgH-Sales-Engineer-VP-State-Street-Corporation-Dubai-United-Arab-Emirates?o=407&l=sp&t=sj&a=data|search-v3|navbl;;
Client Engagement Manager;Hantec Markets ;Dubai, United Arab Emirates ;7 days ago;Full Time;Full TimeNot specified  Customer Service/Support  Marketing/PR/Advertising  Sales/Retail  Customer Service  Customer Care  Sales  Sales Skills  Customer Support  Marketing  Market Research;https://wuzzuf.net/jobs/p/IL2xbt4IRgqM-Client-Engagement-Manager-Hantec-Markets-Dubai-United-Arab-Emirates?o=408&l=sp&t=sj&a=data|search-v3|navbl;;
Manager, People Analytics - UAE National;Kerzner International Management ;Dubai, United Arab Emirates ;6 days ago;Full Time;Full TimeNot specified  Human Resources  IT/Software Development  Marketing/PR/Advertising  Human Resources (HR)  Marketing  Advertising  Information Technology (IT)  Microsoft Office  Analysis  Business Development;https://wuzzuf.net/jobs/p/GxucIJEV5xxp-Manager-People-Analytics---UAE-National-Kerzner-International-Management-Dubai-United-Arab-Emirates?o=409&l=sp&t=sj&a=data|search-v3|navbl;;
Salesforce Engineer- Remote;GetTechForce.com ;Cairo, Egypt ;8 days ago;Full Time;Full TimeWork From HomeManager  5+ Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Agile  Computer Engineering  Computer Science  CSS  AWS  DevOps  Engineering;https://wuzzuf.net/jobs/p/zTTuFvINV1pv-Salesforce-Engineer--Remote-GetTechForce-com-Cairo-Egypt?o=410&l=sp&t=sj&a=data|search-v3|navbl;;
IT Specialist;Mahgoub Group ;Nasr City, Cairo, Egypt ;8 days ago;Work From Home;Full TimeExperienced  3 - 5 Yrs of Exp  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Engineering  Software  Computer Science  Computer Systems  Technical Support  Maintenance;https://wuzzuf.net/jobs/p/IoK7jrJx27eB-IT-Specialist-Mahgoub-Group-Cairo-Egypt?o=411&l=sp&t=sj&a=data|search-v3|navbl;;
Assistant to Dean;Nile University ;Sheikh Zayed, Giza, Egypt ;7 days ago;Full Time;Full TimeExperienced  3 - 5 Yrs of Exp  Administration  Admin Assistant  Office management  English;https://wuzzuf.net/jobs/p/iRgHdPPeSJau-Assistant-to-Dean-Nile-University-Giza-Egypt?o=412&l=sp&t=sj&a=data|search-v3|navbl;;
IT Technical Support;Transmar International  ;New Cairo, Cairo, Egypt ;21 days ago;Full Time;Full TimeExperienced  1 - 5 Yrs of Exp  IT/Software Development  Information Technology (IT)  IT  Networks  Technical Support;https://wuzzuf.net/jobs/p/NSJdsyOT3vId-IT-Technical-Support-Transmar-International-Cairo-Egypt?o=413&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Financial Planning & Analysis;Confidential ;Mohandessin, Giza, Egypt ;9 days ago;Full Time;Full TimeExperienced  4 - 7 Yrs of Exp  Accounting/Finance  Finance  Financial Analysis  SAP  ERP  CMA  CFA  Accounting  Microsoft Excel  Business Administration;https://wuzzuf.net/jobs/p/f0p3J5oFYgiE-Senior-Financial-Planning-Analysis-Giza-Egypt?o=414&l=sp&t=sj&a=data|search-v3|navbl;;
ETIC, Business Analyst- Senior Associate;PricewaterhouseCoopers ;Cairo, Egypt ;8 days ago;Full Time;Full TimeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Business Analysis  Information Technology (IT)  Computer Science  Analysis  Software Development  Computer Engineering  Software;https://wuzzuf.net/jobs/p/O8qLnX87l0h0-ETIC-Business-Analyst--Senior-Associate-PricewaterhouseCoopers-Cairo-Egypt?o=415&l=sp&t=sj&a=data|search-v3|navbl;;
Market Researcher - English language Speaker;Infotech ;Nasr City, Cairo, Egypt ;17 days ago;Full Time;Full TimeExperienced  1 - 2 Yrs of Exp  Customer Service/Support  Analyst/Research  Communication  Communication skills  Research  English  Computer Skills  Customer Service  Online Research  Market Research;https://wuzzuf.net/jobs/p/ACTeq0lZHsW8-Market-Researcher---English-language-Speaker-Infotech-Cairo-Egypt?o=416&l=sp&t=sj&a=data|search-v3|navbl;;
Market Researcher - French language Speaker;Infotech ;Nasr City, Cairo, Egypt ;8 days ago;Full Time;Full TimeExperienced  1 - 2 Yrs of Exp  Customer Service/Support  Analyst/Research  Communication  Communication skills  Research  English  Computer Skills  Customer Service  Online Research  Market Research;https://wuzzuf.net/jobs/p/BmnocbmLLl99-Market-Researcher---French-language-Speaker-Infotech-Cairo-Egypt?o=417&l=sp&t=sj&a=data|search-v3|navbl;;
Electrical Design Engineer;COLAS RAIL Egypt ;Downtown, Cairo, Egypt ;8 days ago;Full Time;Full TimeExperienced  3 - 5 Yrs of Exp  Engineering - Mechanical/Electrical  Design  Electrical Engineering  AutoCAD  REVIT  BIM  Electrical;https://wuzzuf.net/jobs/p/I7dtu2y5o6ci-Electrical-Design-Engineer-COLAS-RAIL-Egypt-Cairo-Egypt?o=418&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Electrical Design Engineer;COLAS RAIL Egypt ;Downtown, Cairo, Egypt ;8 days ago;Full Time;Full TimeExperienced  6 - 10 Yrs of Exp  Engineering - Mechanical/Electrical  Design  Electrical Engineering  AutoCAD  REVIT  BIM  Electrical;https://wuzzuf.net/jobs/p/xUELLyeMAMtz-Senior-Electrical-Design-Engineer-COLAS-RAIL-Egypt-Cairo-Egypt?o=419&l=sp&t=sj&a=data|search-v3|navbl;;
Performance specialist;Professional Recruitment ;Riyadh, Saudi Arabia ;8 days ago;Full Time;Full TimeNot specified  Human Resources  Marketing/PR/Advertising  Media/Journalism/Publishing  Digital Marketing  E-marketing  Marketing  Social Media  Google Analytics  SEO  Performance Management;https://wuzzuf.net/jobs/p/3YrepgxfkVaM-Performance-specialist-Professional-Recruitment-Riyadh-Saudi-Arabia?o=420&l=sp&t=sj&a=data|search-v3|navbl;;
Database Administrator;Damen ;Smart Village, Giza, Egypt ;9 days ago;Full Time;Full TimeExperienced  2 - 5 Yrs of Exp  IT/Software Development  Oracle  Communication skills  Information Technology (IT);https://wuzzuf.net/jobs/p/oQLnoCPKsTrS-Database-Administrator-Damen-Giza-Egypt?o=421&l=sp&t=sj&a=data|search-v3|navbl;;
IT Section Head;Mersal  ;Maadi, Cairo, Egypt ;9 days ago;Full Time;Full TimeExperienced  2 - 4 Yrs of Exp  IT/Software Development  Project/Program Management  Engineering - Telecom/Technology  IT  Management  Project Management  Information Technology (IT)  Computer Science;https://wuzzuf.net/jobs/p/Rt52jqNaguP3-IT-Section-Head-Mersal-Cairo-Egypt?o=422&l=sp&t=sj&a=data|search-v3|navbl;;
Integration Developer Informatica;Dautom ;Dubai, United Arab Emirates ;20 days ago;Full Time;Full TimeNot specified  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Integration  Software Development  Software Engineering  Engineering  Oracle;https://wuzzuf.net/jobs/p/JZoHxRWUv9tX-Integration-Developer-Informatica-Dautom-Dubai-United-Arab-Emirates?o=423&l=sp&t=sj&a=data|search-v3|navbl;;
COMPLIANCE ANALYST;Emirates Group Careers ;Dubai, United Arab Emirates ;21 days ago;Full Time;Full TimeNot specified  Accounting/Finance  IT/Software Development  Analyst/Research  finance  accounting  information technology (it)  financial analysis  analysis  quality  engineering;https://wuzzuf.net/jobs/p/fnrLSrtPF0UO-COMPLIANCE-ANALYST-Emirates-Group-Careers-Dubai-United-Arab-Emirates?o=424&l=sp&t=sj&a=data|search-v3|navbl;;
FTTH Inspection & Quality Control Engineer;Earthlinktele ;Qatif, Saudi Arabia ;9 days ago;Full Time;Full TimeNot specified  IT/Software Development  Quality  Engineering - Telecom/Technology  engineering  quality control  computer science  quality assurance  quality  software  maintenance;https://wuzzuf.net/jobs/p/ufF6t7nub6jK-FTTH-Inspection-Quality-Control-Engineer-Earthlinktele-Qatif-Saudi-Arabia?o=425&l=sp&t=sj&a=data|search-v3|navbl;;
Business Development Specialist;Projecs International ;Sheikh Zayed, Giza, Egypt ;9 days ago;Full Time;Full TimeEntry Level  Business Development  Sales/Retail  Business Development  English  Communication  Sales  sales skills;https://wuzzuf.net/jobs/p/ETeVzlbIuaT8-Business-Development-Specialist-Projecs-International-Giza-Egypt?o=426&l=sp&t=sj&a=data|search-v3|navbl;;
Manager - Influencer Partnerships;Publicis Groupe ;Dubai, United Arab Emirates ;9 days ago;Full Time;Full TimeNot specified  Administration  Operations/Management  Sales/Retail  Microsoft Office  Sales  Administration  Management  Sales Skills  Office Management  Customer Service;https://wuzzuf.net/jobs/p/blR5iSlInBJ6-Manager---Influencer-Partnerships-Publicis-Groupe-Dubai-United-Arab-Emirates?o=427&l=sp&t=sj&a=data|search-v3|navbl;;
Maintenance Planner, Shuaiba;NOMAC ;Riyadh, Saudi Arabia ;10 days ago;Full Time;Full TimeNot specified  Installation/Maintenance/Repair  Logistics/Supply Chain  Engineering - Mechanical/Electrical  engineering  microsoft office  maintenance  mechanical engineering  administration  planning  analysis;https://wuzzuf.net/jobs/p/7AYN4AGlmMjK-Maintenance-Planner-Shuaiba-NOMAC-Riyadh-Saudi-Arabia?o=428&l=sp&t=sj&a=data|search-v3|navbl;;
Web Optimization Specialist;Qatar Airways - Other locations ;Doha, Qatar ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Marketing/PR/Advertising  Media/Journalism/Publishing  Marketing  SEO  Information Technology (IT)  Computer Science  Google Analytics  HTML  Social Media;https://wuzzuf.net/jobs/p/ihyLBtl4TMOg-Web-Optimization-Specialist-Qatar-Airways---Other-locations-Doha-Qatar?o=429&l=sp&t=sj&a=data|search-v3|navbl;;
Regional Solution Design Manager;Maersk Growth ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  IT/Software Development  Sales/Retail  Engineering - Telecom/Technology  information technology (it)  computer science  engineering  software development  design  software  customer service;https://wuzzuf.net/jobs/p/xns13AHOJaVF-Regional-Solution-Design-Manager-Maersk-Growth-Dubai-United-Arab-Emirates?o=430&l=sp&t=sj&a=data|search-v3|navbl;;
Electrical BIM Technician;Surbana Jurong ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  Engineering - Construction/Civil/Architecture  Creative/Design/Art  Engineering - Mechanical/Electrical  Electrical Engineering  BIM  Engineering  Revit  AutoCAD  Construction  Design;https://wuzzuf.net/jobs/p/bfMoc4Woq3DO-Electrical-BIM-Technician-Surbana-Jurong-Dubai-United-Arab-Emirates?o=431&l=sp&t=sj&a=data|search-v3|navbl;;
INFORMATION ARCHITECT;Dubai Customs ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  Creative/Design/Art  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Engineering  Computer Engineering  Architect  Software Development  Software Engineering;https://wuzzuf.net/jobs/p/4xVMFGsse00m-INFORMATION-ARCHITECT-Dubai-Customs-Dubai-United-Arab-Emirates?o=432&l=sp&t=sj&a=data|search-v3|navbl;;
Senior IOS Developer;Salt Search Ltd ;Abu Dhabi, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  Business Development  IT/Software Development  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Software Development  Software Engineering  javaScript  Engineering  CSS;https://wuzzuf.net/jobs/p/xMM1auduwYN3-Senior-IOS-Developer-Salt-Search-Ltd-Abu-Dhabi-United-Arab-Emirates?o=433&l=sp&t=sj&a=data|search-v3|navbl;;
Field Service Expert;Mercedes-Benz Bank AG ;Cairo, Egypt ;10 days ago;Full Time;Full TimeNot specified  Installation/Maintenance/Repair  Engineering - Mechanical/Electrical  Engineering - Other  Engineering  Electrical Engineering  Customer Service  Installation  Maintenance  Customer Care  Customer Support;https://wuzzuf.net/jobs/p/lKuKWth4wvoS-Field-Service-Expert-Mercedes-Benz-Bank-AG-Cairo-Egypt?o=434&l=sp&t=sj&a=data|search-v3|navbl;;
Manager - Influencer Partnerships;Publicis Group ;Dubai, United Arab Emirates ;10 days ago;Full Time;Full TimeNot specified  Administration  Operations/Management  Sales/Retail  Microsoft Office  Sales  Administration  Management  Sales Skills  Office Management  Customer Service;https://wuzzuf.net/jobs/p/jCJE2rYIwF65-Manager---Influencer-Partnerships-Publicis-Group-Dubai-United-Arab-Emirates?o=435&l=sp&t=sj&a=data|search-v3|navbl;;
Field Service Expert;A Daimler Company ;Cairo, Egypt ;10 days ago;Full Time;Full TimeNot specified  Installation/Maintenance/Repair  Engineering - Mechanical/Electrical  Engineering - Other  Engineering  Electrical Engineering  Customer Service  Installation  Maintenance  Customer Care  Customer Support;https://wuzzuf.net/jobs/p/Kz92T2v2UnXg-Field-Service-Expert-A-Daimler-Company-Cairo-Egypt?o=436&l=sp&t=sj&a=data|search-v3|navbl;;
Senior Executive - Media;Publicis Groupe ;Dubai, United Arab Emirates ;16 days ago;Full Time;Full TimeNot specified  Marketing/PR/Advertising  Sales/Retail  Media/Journalism/Publishing  Sales  Sales Skills  Sales Target  Marketing  Customer Service  Customer Support  Market Research;https://wuzzuf.net/jobs/p/ckVdiL0EHqCt-Senior-Executive---Media-Publicis-Groupe-Dubai-United-Arab-Emirates?o=437&l=sp&t=sj&a=data|search-v3|navbl;;
Talent Management Lead;Antal International - Egypt ;Cairo, Egypt ;16 days ago;Full Time;Full TimeNot specified  Human Resources  Operations/Management  Sales/Retail  Human Resources (HR)  Recruitment  Talent Management  HR  Management  Talent Acquisition  Business Administration;https://wuzzuf.net/jobs/p/MYKbXbV8tTVm-Talent-Management-Lead-Antal-International---Egypt-Cairo-Egypt?o=438&l=sp&t=sj&a=data|search-v3|navbl;;
SAP HCM Support Consultant;LABS ;Nasr City, Cairo, Egypt ;10 days ago;Full Time;Full TimeWork From HomeExperienced  4 - 6 Yrs of Exp  IT/Software Development  English  Management  SAP  SAP Program  SAP HCM  SAP Human Capital Management  Support Services  Application Support  SuccessFactors;https://wuzzuf.net/jobs/p/upVefPLumgni-SAP-HCM-Support-Consultant-LABS-Cairo-Egypt?o=439&l=sp&t=sj&a=data|search-v3|navbl;;
Junior Engineer (Saudi National);SNC-Lavalin ;Riyadh, Saudi Arabia ;22 days ago;Work From Home;Full TimeNot specified  IT/Software Development  Engineering - Telecom/Technology  Engineering - Mechanical/Electrical  Engineering  Information Technology (IT)  Computer Science  AutoCAD  Electrical Engineering  Mechanical Engineering  Microsoft Office;https://wuzzuf.net/jobs/p/9p4u9GQMCKyT-Junior-Engineer-Saudi-National-SNC-Lavalin-Riyadh-Saudi-Arabia?o=440&l=sp&t=sj&a=data|search-v3|navbl;;
SEM Senior Specialist;GT World OF Beauty ;Cairo, Egypt ;12 days ago;Full Time;Full TimeExperienced  4 - 6 Yrs of Exp  Marketing/PR/Advertising  Media/Journalism/Publishing  SEM  Google Analytics  CSS  HTML  Social Media  Marketing  SEO  Digital Marketing;https://wuzzuf.net/jobs/p/qk6ATMKkUBxt-SEM-Senior-Specialist-GT-World-OF-Beauty-Cairo-Egypt?o=441&l=sp&t=sj&a=data|search-v3|navbl;;
Shared Services Manager (Post Production Workflow Supervisor);Pixelogic Media Partners, LLC ;Cairo, Egypt ;23 days ago;Full Time;Full TimeNot specified  Customer Service/Support  IT/Software Development  Operations/Management  Customer Service  Customer Care  Customer Support  Management  Information Technology (IT)  Microsoft Office  Sales;https://wuzzuf.net/jobs/p/kHoKkpyQaJew-Shared-Services-Manager-Post-Production-Workflow-Supervisor-Pixelogic-Media-Partners-LLC-Cairo-Egypt?o=442&l=sp&t=sj&a=data|search-v3|navbl;;
Junior Engineer (Saudi National);SNC-Lavalin Fayez Engineering ;Riyadh, Saudi Arabia ;23 days ago;Full Time;Full TimeNot specified  IT/Software Development  Engineering - Telecom/Technology  Engineering - Mechanical/Electrical  Engineering  Information Technology (IT)  Computer Science  AutoCAD  Electrical Engineering  Mechanical Engineering  Microsoft Office;https://wuzzuf.net/jobs/p/8aKQuLGsOy9m-Junior-Engineer-Saudi-National-SNC-Lavalin-Fayez-Engineering-Riyadh-Saudi-Arabia?o=443&l=sp&t=sj&a=data|search-v3|navbl;;
Marketing Research And Analysis;Selah ElTelmeez For Publishing & printing ;Obour City, Cairo, Egypt ;27 days ago;Full Time;Full TimeExperienced  2 - 4 Yrs of Exp  Marketing/PR/Advertising  Analyst/Research  Market Research  Marketing  Communication skills  Analysis  Microsoft Office  Web Analytics  E-Marketing;https://wuzzuf.net/jobs/p/tXC9jWiN0g2R-Marketing-Research-And-Analysis-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt?o=444&l=sp&t=sj&a=data|search-v3|navbl;;
Digital Marketing Coordinator;Andaz Dubai The Palm ;Dubai, United Arab Emirates ;18 days ago;Full Time;Full TimeNot specified  Marketing/PR/Advertising  Sales/Retail  Media/Journalism/Publishing  Marketing  Social Media  Digital Marketing  E-marketing  Media  SEO  Market Research;https://wuzzuf.net/jobs/p/3I4ChCG4sUaK-Digital-Marketing-Coordinator-Andaz-Dubai-The-Palm-Dubai-United-Arab-Emirates?o=445&l=sp&t=sj&a=data|search-v3|navbl;;
UAE National_Business Analyst | Al Futtaim Automotive | Global Aftersales;Al Futtaim Group - Other locations ;Dubai, United Arab Emirates ;24 days ago;Full Time;Full TimeNot specified  Customer Service/Support  Sales/Retail  Engineering - Mechanical/Electrical  sales  mechanical engineering  sales skills  indoor sales  automotive  quality  retail;https://wuzzuf.net/jobs/p/lpATZHEGoFTR-UAE-NationalBusiness-Analyst-Al-Futtaim-Automotive-Global-Aftersales-Al-Futtaim-Group---Other-locations-Dubai-United-Arab-Emirates?o=446&l=sp&t=sj&a=data|search-v3|navbl;;
Sales Representative - English;Concentrix Corporation ;Cairo, Egypt ;14 days ago;Full Time;Full TimeNot specified  Customer Service/Support  Medical/Healthcare  Sales/Retail  Sales  Sales Skills  Sales Target  Customer Service  Customer Support  Customer Care  Outdoor Sales;https://wuzzuf.net/jobs/p/ZsjPMPwiDm3r-Sales-Representative---English-Concentrix-Corporation-Cairo-Egypt?o=447&l=sp&t=sj&a=data|search-v3|navbl;;
Chief Analyst - Accounts;Roads and Transport Authority ;Dubai, United Arab Emirates ;14 days ago;Full Time;Full TimeNot specified  Accounting/Finance  Operations/Management  Analyst/Research  finance  accounting  financial management  financial analysis  financial  corporate  erp;https://wuzzuf.net/jobs/p/7VV9ra8bMIZP-Chief-Analyst---Accounts-Roads-and-Transport-Authority-Dubai-United-Arab-Emirates?o=448&l=sp&t=sj&a=data|search-v3|navbl;;
